GPAGEID,REC_TYPE,REC_TYPE_DESC,SUMNO_ROOMSPERREC_TYPE,SUMARRIVAL_ROOMSPERREC_TYPE,SUMCOMPLIMENTARY_ROOMSPERREC_T,SUMHOUSE_USE_ROOMSPERREC_TYPE,SUMIND_DEDUCT_ROOMSPERREC_TYPE,SUMIND_NON_DEDUCT_ROOMSPERREC_,SUMGRP_DEDUCT_ROOMSPERREC_TYPE,SUMGRP_NON_DEDUCT_ROOMSPERREC_,SUMDEPARTURE_ROOMSPERREC_TYPE,SUMOOO_ROOMSPERREC_TYPE,SUMNO_PERSONSPERREC_TYPE,SUMINVENTORY_ROOMSPERREC_TYPE,SUMREVENUEPERREC_TYPE,SUMOWNER_ROOMSPERREC_TYPE,SUMFF_ROOMSPERREC_TYPE,CF_AVERAGE_ROOM_RATE_REC_TYPE,CF_OCCUPANCY_REC_TYPE,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
,A_STAT,History,562,131,0,0,377,0,185,0,125,10,755,588,58123.37,0,0,103.422366548042704626334519572953736655,97.2318339100346020761245674740484429066,7824.49,80,57,0,23,0,98,34,26,0,0,84,01-AUG-16,08-01-16 Mon,5639.49,0,0,2185,0,0,2,97.806125,97.5609756097560975609756097560975609756,5639.49,0,2185,0
,A_STAT,History,562,131,0,0,377,0,185,0,125,10,755,588,58123.37,0,0,103.422366548042704626334519572953736655,97.2318339100346020761245674740484429066,8263.08,82,59,0,23,0,102,8,5,0,0,84,02-AUG-16,08-02-16 Tue,6078.08,0,0,2185,0,0,0,100.769268292682926829268292682926829268,97.6190476190476190476190476190476190476,6078.08,0,2185,0
,A_STAT,History,562,131,0,0,377,0,185,0,125,10,755,588,58123.37,0,0,103.422366548042704626334519572953736655,97.2318339100346020761245674740484429066,8035,82,59,0,23,0,100,12,12,0,0,84,03-AUG-16,08-03-16 Wed,5850,0,0,2185,0,0,0,97.9878048780487804878048780487804878049,97.6190476190476190476190476190476190476,5850,0,2185,0
,A_STAT,History,562,131,0,0,377,0,185,0,125,10,755,588,58123.37,0,0,103.422366548042704626334519572953736655,97.2318339100346020761245674740484429066,8509.26,82,52,0,30,0,113,16,16,0,0,84,04-AUG-16,08-04-16 Thu,5281.26,0,0,3228,0,0,1,103.771463414634146341463414634146341463,98.7951807228915662650602409638554216868,5281.26,0,3228,0
,A_STAT,History,562,131,0,0,377,0,185,0,125,10,755,588,58123.37,0,0,103.422366548042704626334519572953736655,97.2318339100346020761245674740484429066,8271.29,79,47,0,32,0,111,14,17,0,0,84,05-AUG-16,08-05-16 Fri,4775.29,0,0,3496,0,0,2,104.699873417721518987341772151898734177,96.3414634146341463414634146341463414634,4775.29,0,3496,0
,A_STAT,History,562,131,0,0,377,0,185,0,125,10,755,588,58123.37,0,0,103.422366548042704626334519572953736655,97.2318339100346020761245674740484429066,8731.76,81,53,0,28,0,114,19,16,0,0,84,06-AUG-16,08-06-16 Sat,5703.76,0,0,3028,0,0,3,107.799506172839506172839506172839506173,100,5703.76,0,3028,0
,A_STAT,History,562,131,0,0,377,0,185,0,125,10,755,588,58123.37,0,0,103.422366548042704626334519572953736655,97.2318339100346020761245674740484429066,8488.49,76,50,0,26,0,117,28,33,0,0,84,07-AUG-16,08-07-16 Sun,5849.49,0,0,2639,0,0,2,111.690657894736842105263157894736842105,92.6829268292682926829268292682926829268,5849.49,0,2639,0
,B_FORE,Forecast,1341,215,0,0,764,0,577,0,258,6,1862,2016,135724.62,0,0,101.211498881431767337807606263982102908,66.7164179104477611940298507462686567164,8827.56,82,55,0,27,0,114,31,25,0,0,84,08-AUG-16,08-08-16 Mon,6357.56,0,0,2470,0,0,2,107.653170731707317073170731707317073171,100,6357.56,0,2470,0
,B_FORE,Forecast,1341,215,0,0,764,0,577,0,258,6,1862,2016,135724.62,0,0,101.211498881431767337807606263982102908,66.7164179104477611940298507462686567164,8626.31,78,52,0,26,0,109,6,10,0,0,84,09-AUG-16,08-09-16 Tue,6156.31,0,0,2470,0,0,2,110.593717948717948717948717948717948718,95.1219512195121951219512195121951219512,6156.31,0,2470,0
,B_FORE,Forecast,1341,215,0,0,764,0,577,0,258,6,1862,2016,135724.62,0,0,101.211498881431767337807606263982102908,66.7164179104477611940298507462686567164,8732.41,78,52,0,26,0,108,8,8,0,0,84,10-AUG-16,08-10-16 Wed,6262.41,0,0,2470,0,0,2,111.953974358974358974358974358974358974,95.1219512195121951219512195121951219512,6262.41,0,2470,0
